mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_random_state,param_shuffle,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.18536000251770018,0.004868397215008591,0.003032541275024414,8.295596217852495e-06,logistic,0.0001,"(100, 60)",0.01584893192461114,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.01584893192461114, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9541614906832298,0.010660093392757738,375
0.17866873741149902,0.004478042001601497,0.003036212921142578,1.127334210215587e-05,logistic,0.0001,"(100, 60)",0.025118864315095808,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.025118864315095808, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9428571428571428,0.9285714285714286,0.9714285714285714,0.9710144927536232,0.9542028985507246,0.016575254374029794,364
0.16614918708801268,0.009719802117919485,0.00302581787109375,9.930813561171485e-06,logistic,0.0001,"(100, 60)",0.039810717055349734,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.039810717055349734, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9714285714285714,0.9428571428571428,0.9,0.9714285714285714,0.9130434782608695,0.939751552795031,0.029359900897624577,698
0.4135305881500244,0.05959104574480682,0.003029012680053711,1.1756332861693013e-05,logistic,0.0001,"(100, 60)",0.06309573444801933,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.06309573444801933, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9142857142857143,0.9571428571428572,0.8857142857142857,0.9857142857142858,0.9130434782608695,0.9311801242236024,0.03557960020970074,740
0.3491851329803467,0.03440031601781698,0.0030293941497802736,1.8534434002867545e-05,logistic,0.0001,"(100, 60)",0.1,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.1, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9,0.9571428571428572,0.8714285714285714,0.9571428571428572,0.8840579710144928,0.9139544513457558,0.036407289110505454,785
0.9611618518829346,0.016262031448086484,0.003018951416015625,5.623040397074864e-06,logistic,0.0001,"(100, 40)",0.001,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.001, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9420289855072463,0.9569772256728779,0.01296562258325968,325
0.7151434421539307,0.017322556288900164,0.0030234813690185546,7.102473064632873e-06,logistic,0.0001,"(100, 40)",0.001584893192461114,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.001584893192461114, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9420289855072463,0.954120082815735,0.010871122830327137,411
0.5312173366546631,0.010679037221034355,0.0030140399932861326,8.979743886057543e-06,logistic,0.0001,"(100, 40)",0.0025118864315095794,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.0025118864315095794, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9570186335403728,0.009038494292462734,266
0.40772433280944825,0.009734771944244042,0.003015947341918945,7.1690686701403675e-06,logistic,0.0001,"(100, 40)",0.003981071705534973,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.003981071705534973, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9570186335403728,0.009038494292462734,266
0.315708065032959,0.009769553774676315,0.003023052215576172,3.5348591746366135e-05,logistic,0.0001,"(100, 40)",0.00630957344480193,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.00630957344480193, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9570186335403728,0.009038494292462734,266
